medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,JKQ
"100701000006118","F0512","F051200","21258007","1222620011","thrombosis lateral sinus",""
"104563015","G6","G6...00","62914000","104563015","cerebrovascular disease","1"
"1130181000000113","G679","G679.00","443929000","2842187014","small vessel cerebrovascular disease","1"
"1160471000000111","662M1","662M100","519751000000106","1160471000000111","stroke 6 month review","2"
"118689010","G640","G640.00","71444005","118689010","cerebral thrombosis",""
"11920121000006117","^ESCT1192012","","266257000","395785017","transient cerebral ischemia","2"
"11930671000006110","^ESCT1193067","","870631000000105","2249731000000117","qstroke 10 year risk of stroke calculator",""
"1212072018","ESCTOC3","","373606000","1212072018","occlusive stroke",""
"1221073012","70000","7000000","14247003","1221073012","hemispherectomy",""
"1221482011","7012-1","7012.11","302325008","443934017","other operations on cerebroventricular shunt",""
"1222398015","G64","G64..00","20059004","1222398015","cerebral arterial occlusion",""
"122361000006113","G64-3","G64..13","230691006","345638019","stroke due to cerebral arterial occlusion","1"
"122401000006115","G66-2","G66..12","230690007","345637012","stroke unspecified","1"
"1227591017","ZV125-1","ZV12511","275526006","2476091017","[v]personal history of stroke",""
"1229954013","G673","G673.00","42994005","1229954013","cerebral aneurysm, nonruptured",""
"1233939016","C1zy2","C1zy200","75968004","1233939016","cerebral gigantism",""
"1233940019","C1zy2-1","C1zy211","75968004","1233940019","sotos syndrome",""
"1235913017","G67A","G67A.00","95455008","1235913017","cerebral vein thrombosis",""
"125470015","G641","G641.00","75543006","125470015","cerebral embolism",""
"12626401000006115","^ESCT1262640","","1110981000000104","2779941000000115","qof (quality and outcomes framework) stroke and transient ischaemic attack quality indicator-related care invitation",""
"126301000006113","G63-2","G63..12","1055001","2858018","stenosis of precerebral artery",""
"12734411000006116","^ESCT1273441","","143471000000105","1628421000000119","qof (quality and outcomes framework) stroke and transient ischaemic attack quality indicator-related care invitation using preferred method of communication",""
"13630291000006119","^ESCT1363029","","783416000","3758851019","aneurysm of anterior cerebral artery",""
"13630331000006114","^ESCT1363033","","783420001","3758860010","aneurysm of middle cerebral artery",""
"13717171000006112","^ESCT1371717","","16661971000119104","3773590013","cerebrovascular accident due to stenosis of bilateral carotid arteries",""
"138981000000113","9h2","9h2..00","716331000000108","1568881000000119","exception reporting - stroke quality indicators",""
"139081000000117","9h21","9h21.00","716581000000101","1569131000000118","excepted from stroke quality indicators - patient unsuitable",""
"139091000000115","9h22","9h22.00","716021000000109","1568581000000116","excepted from stroke quality indicators - informed dissent",""
"13909861000006114","^ESCT1390986","","788880006","3787578016","cerebral ischaemic stroke due to dissection of artery","1"
"13909881000006116","^ESCT1390988","","788882003","3786067010","cerebral ischaemic stroke due to global hypoperfusion with watershed infarct","1"
"13909891000006118","^ESCT1390989","","788883008","3786069013","cerebral ischaemic stroke due to hypercoagulable state","1"
"13937171000006112","^ESCT1393717","","838275008","3896342018","stenosis of cerebral artery","2"
"13960481000006114","^ESCT1396048","","866240007","3957862019","at risk of stroke",""
"14014251000006116","^ESCT1401425","","16644681000119102","3780817010","cerebrovascular accident due to occlusion of bilateral pontine arteries","1"
"14182621000006113","^ESCT1418262","","16891111000119104","4009580018","cryptogenic stroke",""
"14194161000006118","^ESCT1419416","","40076141000119107","3993167019","acute stroke due to occlusion of left posterior cerebral artery",""
"14194191000006114","^ESCT1419419","","46583221000119102","3993137013","acute cerebrovascular accident due to stenosis of left carotid artery","1"
"14194211000006110","^ESCT1419421","","63230211000119103","3993157012","acute cerebrovascular accident due to occlusion of left middle cerebral artery","1"
"14194281000006115","^ESCT1419428","","137592291000119101","3993169016","acute cerebrovascular accident due to occlusion of right posterior cerebral artery","1"
"14194331000006112","^ESCT1419433","","272202251000119109","3993162013","acute cerebrovascular accident due to occlusion of right middle cerebral artery",""
"14194491000006118","^ESCT1419449","","407573811000119100","4011845015","acute cerebrovascular accident due to occlusion of right carotid artery","1"
"14194571000006115","^ESCT1419457","","502836591000119106","4011843010","acute cerebrovascular accident due to occlusion of left carotid artery",""
"14194611000006113","^ESCT1419461","","595899961000119100","4015877011","acute cerebrovascular accident of basal ganglia",""
"14194641000006112","^ESCT1419464","","652287331000119104","4016003015","acute cerebrovascular accident of brainstem","1"
"14194651000006114","^ESCT1419465","","652287331000119104","4016004014","acute stroke of brainstem","1"
"14194661000006111","^ESCT1419466","","693158221000119105","3993384019","acute cerebrovascular accident due to stenosis of right carotid artery","1"
"14194741000006118","^ESCT1419474","","738478141000119101","3993407012","acute cerebrovascular accident due to occlusion of right cerebellar artery","1"
"14194801000006111","^ESCT1419480","","762005171000119101","4011866011","acute cerebrovascular accident due to ischaemia",""
"14194811000006114","^ESCT1419481","","762005171000119101","4011863015","acute ischaemic stroke","1"
"14194941000006115","^ESCT1419494","","931164671000119105","4011851013","acute cerebrovascular accident due to embolism of right middle cerebral artery","1"
"14194971000006111","^ESCT1419497","","936648941000119105","4011849014","acute cerebrovascular accident due to embolism of left middle cerebral artery",""
"1476248016","7A238","7A23800","390935004","1476248016","percutaneous coil embolisation of cerebral artery aneurysm",""
"149571000006118","G68X","G68X.00","195239002","300403014","sequelae of stroke,not specfd as h'morrhage or infarction",""
"149701000006118","G68W","G68W.00","195239002","300403014","sequelae/other + unspecified cerebrovascular diseases",""
"1548241000006113","7A205","7A20500","225051000000105","359251000000112","high-flow interposition extracranial to intracranial bypass from external carotid artery to middle cerebral artery",""
"1548251000006110","7A206","7A20600","427486009","2675880013","bypass of carotid artery by anastomosis of superficial temporal artery to middle cerebral artery",""
"1558671000006117","7P083","7P08300","426099006","2674340018","computed tomography of cerebral vessels",""
"1562581000006114","9Om4","9Om4.00","717241000000108","1569781000000115","stroke/transient ischaemic attack monitoring telephone invitation","2"
"1576261000006112","EGTON2EGTON275","","1576261000006108","1576261000006112","cause of death- cerebral infarct","1"
"162111000000112","9N4X","9N4X.00","88601000000107","137901000000116","did not attend stroke clinic",""
"1682791000006112","EMISNQMI193","","1682791000006108","1682791000006112","mitoch myopath/encephalopath/lactic acidosis/stroke-like episode",""
"1716621000000117","1JA10","1JA1000","769211000000103","1716621000000117","suspected cerebrovascular accident",""
"1716631000000115","1JA10-1","1JA1011","769211000000103","1716631000000115","suspected stroke",""
"1726581000006116","EMISNQCE10","","1726581000006100","1726581000006116","central post-stroke pain",""
"1757281000006116","EMISNQSU28","","1757281000006100","1757281000006116","suspected stroke",""
"1768371000006119","7N4B","7N4B.00","88556005","508092012","structure of cerebral artery",""
"1773171000006119","EMISNQCH82","","1773171000006103","1773171000006119","cha2ds2-vasc(chf,hyp,age2,dia,stroke2,vas dis,age,sex)risk score",""
"1773371000006117","EMISNQCE16","","1773371000006101","1773371000006117","cerebrovascular accident care plan","2"
"1780250018","P247","P247.00","253153000","3662350016","dysplasia of cerebral cortex",""
"1780304018","662e","662e.00","699270006","2983515011","cva annual review","2"
"1809201000006113","EMISNQAT20","","1809201000006109","1809201000006113","at risk of cerebrovascular disease",""
"1809211000006111","EMISNQHI23","","1809211000006107","1809211000006111","high risk of cerebrovascular disease",""
"181161000006112","70121","7012100","230879004","345905014","removal of cerebroventricular shunt",""
"1823911000006110","EMISNQCE24","","1823911000006106","1823911000006110","cerebrovascular disorder confirmed",""
"1855541000006116","EMISNQCE26","","1855541000006100","1855541000006116","cerebrovascular disease monitoring admin.","2"
"1855551000006119","EMISNQCE27","","1855551000006103","1855551000006119","cerebrovascular disease monitoring in primary care","2"
"1855561000006117","EMISNQCE28","","1855561000006101","1855561000006117","cerebrovascular disease monitoring in secondary care","2"
"1855571000006112","EMISNQCE29","","1855571000006108","1855571000006112","cerebrovascular disease monitoring default","2"
"1857051000006118","TESTPCE1","","1857051000006102","1857051000006118","cerebrovascular disease management","2"
"1863321000006113","EMISNQRE381","","1863321000006109","1863321000006113","referral by stroke nurse specialist","2"
"1870501000006114","C373M-1","C373M11","45502001","75861010","cerebral amyloidosis",""
"1994761000006112","EMISNQRE602","","1994761000006108","1994761000006112","referral to stroke rehabilitation service","2"
"2008521000006110","EMISNQRE623","","2008521000006106","2008521000006110","referral to community stroke service","2"
"2115821000000118","661N7","661N700","810991000000109","2115821000000118","stroke self-management plan review","2"
"2118011000000114","661M7","661M700","812041000000104","2118011000000114","stroke self-management plan agreed","2"
"2126181000000114","662e-1","662e.11","699270006","2983500010","stroke annual review","2"
"216642019","6F","6F...00","135875009","216642019","stroke prevention",""
"216643012","6F-1","6F...11","135875009","216643012","cva prevention",""
"216645017","388I","388I.00","135877001","216645017","stroke risk",""
"218511000000117","G64-2","G64..12","432504007","2770034014","infarction - cerebral","1"
"2185361000000119","8OAC","8OAC.00","842441000000104","2185361000000119","provision of written information about stroke",""
"2249731000000117","38Go","38Go.00","1085311000000106","2719191000000115","qstroke risk calculator score",""
"23471000006111","7012y","7012y00","302325008","443934017","other operation on connection from ventricle of brain os",""
"236331000000111","9Om","9Om..00","713771000000100","1565011000000111","stroke/transient ischaemic attack monitoring administration","2"
"24131000006118","7A24-1","7A24.11","175362007","271527011","other open operations on cerebral artery",""
"24151000006113","7A24-2","7A24.12","175362007","271527011","other open operations on circle of willis",""
"2436731000000112","5C13","5C13.00","955491000000106","2436731000000112","old cerebral infarction on imaging",""
"24511000006116","7A24z","7A24z00","175362007","271527011","other open operation on cerebral artery/circle of willis nos",""
"24521000006112","7A24y","7A24y00","175362007","271527011","other open operation on cerebral artery/circle of willis os",""
"2469365010","8HBJ","8HBJ.00","413124000","2469365010","stroke / transient ischaemic attack referral","2"
"2474330011","8HTQ","8HTQ.00","412773009","2474330011","referral to stroke clinic","2"
"2474651019","G64z4","G64z400","413102000","2474651019","infarction of basal ganglia",""
"2474668015","13YA","13YA.00","413119003","2474668015","stroke group member",""
"2476084015","12C4-1","12C4.11","275104002","2476084015","fh: cva",""
"2476091017","14A7-2","14A7.12","275526006","2476091017","h/o: stroke",""
"2478606010","44y3","44y3.00","1021781000000108","2566511000000111","blood b-galactocerebrosidase level",""
"249723017","1225-1","1225.11","160271002","249723017","no fh: cva/stroke/tia",""
"249724011","1225","1225.00","160271002","249724011","no fh: stroke/tia",""
"2534196010","9Om2","9Om2.00","415631003","2534196010","stroke/transient ischaemic attack monitoring third letter","2"
"2534212018","9Om1","9Om1.00","415629007","2534212018","stroke/transient ischaemic attack monitoring second letter","2"
"2534253014","9Om0","9Om0.00","415628004","2534253014","stroke/transient ischaemic attack monitoring first letter","2"
"2536870012","F28y3","F28y300","413808003","2536870012","ventriculomegaly",""
"2539131000006116","^ESCTST253913","","2517002","5296016","stroke rehabilitation",""
"2550771000006114","^ESCTAR255077","","3258003","6498014","arteriography of cerebral arteries",""
"2550801000006111","^ESCTCE255080","","3258003","485262015","cerebral arteriography",""
"2572431000006118","^ESCTCE257243","","4605009","7926018","cerebral function",""
"2583131000006114","^ESCTRI258313","","5228007","496266012","right cerebral hemisphere structure",""
"2583141000006116","^ESCTRI258314","","5228007","9769010","right cerebral hemisphere",""
"260574012","481","481..00","167699000","260573018","csf examination - general",""
"260579019","481Z","481Z.00","167699000","260573018","csf exam. - general nos",""
"260646011","48Z","48Z..00","167699000","260573018","csf examination nos",""
"264499015","662M","662M.00","170600009","264499015","stroke monitoring","2"
"265692011","70043","7004300","10458001","279429014","evacuation of intracerebral haematoma",""
"265749013","70110","7011000","171518007","265749013","maintenance of proximal catheter of cerebroventricular shunt",""
"265750013","70111","7011100","171519004","265750013","maintenance of distal catheter of cerebroventricular shunt",""
"265752017","70124-1","7012411","281589002","419631013","conversion of cerebroventricular shunt nec",""
"265753010","70114","7011400","171522002","265753010","renewal of valve of cerebroventricular shunt",""
"265758018","7012","7012.00","302325008","443934017","other operations on connection from ventricle of brain",""
"265762012","70122","7012200","171529006","265762012","aspiration of cerebroventricular shunt",""
"265767018","70125","7012500","450335000","2915282013","attention to cerebroventricular shunt",""
"265769015","7012z","7012z00","302325008","443934017","other operation on connection from ventricle of brain nos",""
"267311000006118","G6774","G677400","195236009","300400012","occlusion and stenosis of multiple and bilateral cerebral arteries","1"
