medcodeid,originalreadcode,cleansedreadcode,term,snomedctconceptid,snomedctdescriptionid,jkq
"2729671000000118","^ESCT1171768","","Acute transmural myocardial infarction","1089471000000109","2729671000000118",1
"14218681000006110","^ESCT1421868","","PACS - primary angle closure suspect","1128111000000103","4168384012",0
"12122331000006116","^ESCT1212233","","Acute ST segment elevation myocardial infarction of inferolateral wall","12238111000119106","3646299014",1
"12122341000006114","^ESCT1212234","","Acute ST segment elevation myocardial infarction of inferoposterior wall","12238151000119107","3646297011",1
"4354131000006110","^ESCTLE435413","","Left coronary artery occlusion","123641001","192130016",0
"4354151000006115","^ESCTRI435415","","Right coronary artery occlusion","123642008","192131017",0
"486121000006110","SK0y-1","SK0y.11","Anterior tibial compartment syndrome","12694001","21799016",0
"212081000006112","G382","G382.00","Postoperative transmural myocardial infarction other sites","129574000","208365015",0
"9843961000006118","^ESCTAC984396","","Acute ST segment elevation myocardial infarction of anterolateral wall","15712881000119105","3041141013",1
"9843981000006111","^ESCTAC984398","","Acute ST segment elevation myocardial infarction of lateral wall","15712921000119103","3041019010",1
"9843991000006114","^ESCTAC984399","","Acute ST segment elevation myocardial infarction of anteroseptal wall","15712961000119108","3041144017",1
"9844011000006119","^ESCTAC984401","","Acute ST segment elevation myocardial infarction of posterior wall","15713041000119103","3041268019",1
"9844051000006118","^ESCTAC984405","","Acute ST segment elevation myocardial infarction due to right coronary artery occlusion","15713121000119105","3082407014",1
"1576271000006117","EGTON2EGTON433","","Cause of Death- Myocardial Infarction","1576271000006101","1576271000006117",1
"1576301000006115","EGTON2G41","","Cause of Death- Acute Myocardial Infarction","1576301000006104","1576301000006115",1
"9868571000006116","^ESCTMU986857","","Mural thrombus of left ventricle following acute myocardial infarction","15960981000119105","3322978018",0
"967931000006114","G30B","G30B.00","Acute myocardial infarction of posterolateral wall","15990001","27071012",1
"256460011","323Z","323Z.00","ECG: myocardial infarct NOS","164865005","256452010",1
"256453017","3231","3231.00","ECG: no myocardial infarction","164866006","256453017",0
"256454011","3232","3232.00","ECG: old myocardial infarction","164867002","256454011",0
"14015031000006119","^ESCT1401503","","Myocardial infarction due to demand ischaemia","16837681000119104","3779054018",0
"4032016","G32-1","G32..11","Healed myocardial infarction","1755008","4032016",0
"1790421000006113","JHCCO210","","ACSC","1790421000006109","1790421000006113",0
"1793491000006116","JHCCO517","","FNACS PO","1793491000006100","1793491000006116",0
"1849601000006118","EMISNQNO74","","No FH: Myocardial infarction","1849601000006102","1849601000006118",0
"299712015","G306","G306.00","True posterior myocardial infarction","194802003","299712015",1
"299742017","G312","G312.00","Coronary thrombosis not resulting in myocardial infarction","194821006","299742017",0
"299745015","G31y0","G31y000","Acute coronary insufficiency","194823009","299745015",1
"118831000006118","G35X","G35X.00","Subsequent myocardial infarction of unspecified site","194856005","299808017",1
"299811016","G350","G350.00","Subsequent myocardial infarction of anterior wall","194857001","299811016",1
"299812011","G351","G351.00","Subsequent myocardial infarction of inferior wall","194858006","299812011",1
"813961000006116","G360","G360.00","Haemopericardium as current complication following acute myocardial infarction","194862000","299816014",0
"498031000006112","G361","G361.00","Atrial septal defect as current complication following acute myocardial infarction","194863005","299818010",0
